City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Vwawa,TZ,-9.1167,32.9333,60.22,93,100,2.37,overcast clouds
299,Aksehir,TR,38.3575,31.4164,35.31,84,51,5.06,broken clouds
300,Sambava,MG,-14.2667,50.1667,78.1,82,84,7.36,broken clouds
301,Tromso,NO,69.6496,18.957,19.4,73,75,13.8,broken clouds
302,Lumsden,CA,50.6501,-104.8678,-14.01,84,20,6.91,few clouds
303,Brae,GB,60.3964,-1.353,39.2,75,40,11.5,light snow
304,Ribeira Grande,PT,38.5167,-28.7,62.6,87,64,25.95,broken clouds
305,Magdalena,PH,14.1999,121.429,86.0,70,75,6.91,broken clouds
306,Rawson,AR,-43.3002,-65.1023,65.39,62,70,12.91,broken clouds
307,Hambantota,LK,6.1241,81.1185,78.8,83,40,10.36,scattered clouds
308,Houston,US,29.7633,-95.3633,63.0,100,90,14.97,mist
309,Dhidhdhoo,MV,6.8833,73.1,81.99,73,30,9.1,scattered clouds
310,Solnechnyy,RU,50.7214,136.6319,4.71,88,70,2.46,broken clouds
311,Kadoma,JP,34.7333,135.5833,48.2,93,75,6.91,light rain
312,Ligayan,PH,4.6533,119.4706,81.54,74,36,5.95,scattered clouds
313,Pimentel,PE,-6.8367,-79.9342,71.69,80,99,10.98,overcast clouds
314,Salalah,OM,17.0151,54.0924,66.2,37,0,14.97,clear sky
315,Zyryanka,RU,65.75,150.85,-30.12,83,100,7.23,overcast clouds
316,Picos,BR,-7.0769,-41.4669,74.73,68,99,2.89,light rain
317,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,100,75,20.71,light rain
318,Namibe,AO,-15.1961,12.1522,75.02,70,100,5.23,overcast clouds
319,Djambala,CG,-2.5447,14.7533,68.59,93,100,4.03,overcast clouds
320,Kargasok,RU,59.0556,80.8572,-51.48,76,57,5.88,broken clouds
321,Somerset East,ZA,-32.7217,25.588,61.63,77,94,6.78,light rain
322,Zambezi,ZM,-13.5432,23.1047,64.94,97,100,5.77,light rain
323,Leningradskiy,RU,69.3833,178.4167,-17.12,79,0,1.66,clear sky
324,Penzance,GB,50.1186,-5.5371,39.2,93,20,10.36,light rain
325,Sakete,BJ,6.7362,2.6587,73.35,93,92,4.56,overcast clouds
326,Saurimo,AO,-9.6608,20.3916,63.73,98,100,3.58,light rain
327,Mahanje,TZ,-9.9333,35.3333,64.56,98,96,1.21,light rain
328,Lavrentiya,RU,65.5833,-171.0,0.72,86,100,6.42,overcast clouds
329,Kutum,SD,14.2,24.6667,52.11,41,11,3.8,few clouds
330,Taltal,CL,-25.4,-70.4833,64.94,74,0,1.54,clear sky
331,Arlit,NE,18.7369,7.3853,56.21,31,1,5.46,clear sky
332,Ostrovnoy,RU,68.0531,39.5131,0.5,91,80,11.41,broken clouds
333,Chicama,PE,-7.8447,-79.1469,69.8,88,100,9.22,light rain
334,Wageningen,NL,51.9667,5.6667,37.99,100,75,4.61,light rain
335,Alofi,NU,-19.0595,-169.9187,86.0,62,53,6.91,light rain
336,Ekhabi,RU,53.5102,142.9671,-7.02,85,100,12.64,overcast clouds
337,Tahoua,NE,14.8888,5.2692,62.6,17,0,6.91,clear sky
338,Klaksvik,FO,62.2266,-6.589,33.8,93,40,2.3,light rain
339,La Ronge,CA,55.1001,-105.2842,-23.8,69,0,2.3,clear sky
340,Meulaboh,ID,4.1363,96.1285,84.63,66,44,2.51,scattered clouds
341,Okha,RU,53.5739,142.9478,-6.86,84,100,12.46,overcast clouds
342,Naze,JP,28.3667,129.4833,69.8,64,20,17.27,few clouds
343,Pathein,MM,16.7833,94.7333,79.59,42,13,5.46,few clouds
344,Raga,SS,8.4596,25.678,64.15,28,97,3.98,overcast clouds
345,Klyuchi,RU,52.2667,79.1667,-24.57,85,94,7.74,overcast clouds
346,Simao,CN,22.7886,100.9748,67.41,46,25,5.66,scattered clouds
347,Svetlaya,RU,46.5389,138.3297,32.45,79,3,9.08,clear sky
