City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Sambava,MG,78.1,broken clouds,-14.2667,50.1667,Melrose
305,Magdalena,PH,86.0,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
307,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
309,Dhidhdhoo,MV,81.99,scattered clouds,6.8833,73.1,Dhidhoo beach
312,Ligayan,PH,81.54,scattered clouds,4.6533,119.4706,
318,Namibe,AO,75.02,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
335,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
340,Meulaboh,ID,84.63,scattered clouds,4.1363,96.1285,Kost Pria
343,Pathein,MM,79.59,few clouds,16.7833,94.7333,Pathein Hotel
356,Bell Ville,AR,78.31,clear sky,-32.6259,-62.6887,Hotel Central
359,Ambanja,MG,77.0,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
365,San Carlos,VE,75.0,broken clouds,9.6612,-68.5827,Hotel Paternopoli
367,Calabozo,VE,79.61,scattered clouds,8.9242,-67.4293,Hotel Giardini
368,Lorengau,PG,85.39,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
369,Puerto Escondido,MX,76.59,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
373,Denpasar,ID,86.0,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
379,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
384,Kampot,KH,84.2,scattered clouds,10.6167,104.1833,Two Moons Hotel
386,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
395,Montego Bay,JM,77.0,few clouds,18.4712,-77.9188,Sunscape Splash Montego Bay
402,Inhambane,MZ,80.53,overcast clouds,-23.865,35.3833,Oceano
414,Bacolod,PH,83.98,overcast clouds,10.6667,122.95,Planta Hotel & Residences
416,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
421,Ugoofaaru,MV,82.56,few clouds,5.6667,73.0,Ungoofaaru Inn
423,La Asuncion,VE,75.65,clear sky,11.0333,-63.8628,Colinas de Matasiete
425,Kavieng,PG,85.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
426,Sola,VU,86.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
429,Totness,SR,77.13,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
430,Labuhan,ID,84.47,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
431,Manaure,CO,78.69,scattered clouds,11.7751,-72.4445,Hotel Palaaima
436,Pizarro,CO,76.05,light rain,4.9533,-77.366,Hotel Limonar
438,Antalaha,MG,77.54,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
439,Makakilo City,US,80.6,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
440,Manta,EC,78.8,broken clouds,-0.95,-80.7333,Balandra Hotel
445,Santa Rosa,PH,87.01,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
448,Itarema,BR,80.22,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
449,Ankazoabo,MG,77.09,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
450,Matara,LK,80.28,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
452,Kendari,ID,88.16,overcast clouds,-3.945,122.4989,Hotel Wixel
457,Moroni,KM,80.53,overcast clouds,-11.7022,43.2551,Hotel les Arcades
464,Quatre Cocos,MU,84.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
468,Ailigandi,PA,79.29,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
474,Soyo,AO,76.06,moderate rain,-6.1349,12.3689,Hotel Mpampa
476,Tigre,AR,81.0,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
499,Natal,BR,78.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
513,Carutapera,BR,78.33,overcast clouds,-1.195,-46.02,Lidera
515,Aquin,HT,75.42,few clouds,18.2833,-73.4,Asheev Beach
525,Port-Gentil,GA,80.49,overcast clouds,-0.7193,8.7815,Fengshui Residence
527,Mahibadhoo,MV,83.26,broken clouds,3.7833,72.9667,Omadhoo Inn
530,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
532,Caucaia,BR,82.4,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
533,Geraldton,AU,77.0,few clouds,-28.7667,114.6,Broadwater Mariner Resort
537,Kavaratti,IN,81.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
538,Lethem,GY,77.02,broken clouds,3.3803,-59.7968,Savannah Inn
