City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Richards Bay,ZA,2021-01-20 17:55:02,-28.783,32.0377,74.01,81,53,9.86
240,Dayong,CN,2021-01-20 17:55:03,25.0209,118.2898,62.6,82,0,3.49
241,Pacific Grove,US,2021-01-20 17:55:03,36.6177,-121.9166,57.99,28,1,4.61
242,Compiegne,FR,2021-01-20 17:55:03,49.4179,2.8261,53.6,54,75,20.71
243,Milton,US,2021-01-20 17:53:22,34.1322,-84.3007,52.0,45,28,4.0
244,Bandarbeyla,SO,2021-01-20 17:55:04,9.4942,50.8122,75.33,80,88,19.01
245,Saint Anthony,US,2021-01-20 17:55:04,45.0205,-93.218,30.99,64,75,12.66
246,Mehamn,NO,2021-01-20 17:55:04,71.0357,27.8492,17.6,93,90,4.61
247,Upington,ZA,2021-01-20 17:54:19,-28.4478,21.2561,91.4,35,20,13.8
248,Erzin,TR,2021-01-20 17:55:06,36.9559,36.2,39.99,41,0,15.01
249,Torbay,CA,2021-01-20 17:55:06,47.6666,-52.7314,30.0,68,75,26.46
250,Mariana,BR,2021-01-20 17:55:07,-20.3778,-43.4161,81.5,47,59,8.01
251,Hasaki,JP,2021-01-20 17:55:07,35.7333,140.8333,32.0,80,75,1.14
252,Pangnirtung,CA,2021-01-20 17:55:07,66.1451,-65.7125,24.8,80,75,9.22
253,Hualmay,PE,2021-01-20 17:55:07,-11.0964,-77.6139,76.66,67,33,12.01
254,Pucallpa,PE,2021-01-20 17:55:07,-8.3791,-74.5539,78.8,73,75,2.3
255,Fremont,US,2021-01-20 17:55:10,37.5483,-121.9886,57.0,47,1,1.52
256,Tuatapere,NZ,2021-01-20 17:55:12,-46.1333,167.6833,53.01,83,97,10.0
257,Bardiyah,LY,2021-01-20 17:55:12,31.7561,25.0865,53.98,55,0,6.02
258,Jojoima,SL,2021-01-20 17:55:12,7.8792,-10.7878,87.04,41,2,3.11
259,Koumac,NC,2021-01-20 17:55:12,-20.5667,164.2833,76.24,84,100,13.73
260,Nhulunbuy,AU,2021-01-20 17:55:13,-12.2333,136.7667,77.0,83,90,17.27
261,Immokalee,US,2021-01-20 17:55:13,26.4187,-81.4173,73.4,46,1,8.05
262,Innisfail,AU,2021-01-20 17:55:13,-17.5333,146.0333,75.96,93,100,4.97
263,Cherskiy,RU,2021-01-20 17:55:13,68.75,161.3,-43.83,78,92,6.15
264,Mount Isa,AU,2021-01-20 17:55:14,-20.7333,139.5,82.4,51,90,4.61
265,Southampton,GB,2021-01-20 17:55:15,50.904,-1.4043,51.8,87,75,17.27
266,Ilulissat,GL,2021-01-20 17:55:15,69.2167,-51.1,26.6,63,75,1.14
